micrograph_no,brief_description,keywords,categories,system,composition,standard_codes,reaction,processing,applications,sample_preparation,technique,length_bar,further_information,contributor,organisation,image_url,image_local_path,page_url
766,"Bi 80, Sn 20 (wt%)","alloy , bismuth, metal, tin",Metal or alloy,Bi-Sn,"Bi 80, Sn 20 (wt%)",,,Small casting in alumina crucible - air cooled.,Educational alloy - low melting point allows easy and safe use for students.,Standard polishing techniques.,Scanning electron microscopy (SEM) in secondary electron imaging (SEI) mode,100 μm,"Some small scale ordering is apparent, with the pale areas almost pure bismuth, and the darker areas having near eutectic composition.",M Charles and A Cockburn,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000766.jpg,./miclib_output/images/000766.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=766
767,"Bi 80, Sn 20 (wt%)","alloy , bismuth, metal, tin",Metal or alloy,Bi-Sn,"Bi 80, Sn 20 (wt%)",,,Small casting in alumina crucible - air cooled.,Educational alloy - low melting point allows easy and safe use for students.,Standard polishing techniques.,Scanning electron microscopy (SEM) in secondary electron imaging (SEI) mode,10 μm,The near eutectic darker areas seen at lower magnifications (micrographs 766 and 765) can be clearly seen to be similar to lamellae seen in micrograph 764. Note: the specimen in this micrograph is scratched.,M Charles and A Cockburn,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000767.jpg,./miclib_output/images/000767.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=767
768,"Bi 90, Sn 10 (wt%)","alloy , bismuth, metal, tin",Metal or alloy,Bi-Sn,"Bi 90, Sn 10 (wt%)",,,Small casting in alumina crucible - air cooled.,Educational alloy - low melting point allows easy and safe use for students.,Standard polishing techniques.,Scanning electron microscopy (SEM) in secondary electron imaging (SEI) mode,300 μm,"Large scale ordering is apparent, with the very high bismuth concentration showing up as light, and the near eutectic composition showing as darker.",M Charles and A Cockburn,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000768.jpg,./miclib_output/images/000768.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=768
769,"Bi 90, Sn 10 (wt%)","alloy , bismuth, metal, tin",Metal or alloy,Bi-Sn,"Bi 90, Sn 10 (wt%)",,,Small casting in alumina crucible - air cooled.,Educational alloy - low melting point allows easy and safe use for students.,Standard polishing techniques.,Scanning electron microscopy (SEM) in secondary electron imaging (SEI) mode,100 μm,"Some small scale ordering is apparent, with the pale areas almost pure bismuth, and the darker areas having near eutectic composition, and showing lamellae similar to those in micrograph 763.",M Charles and A Cockburn,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000769.jpg,./miclib_output/images/000769.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=769
770,"Bi 90, Sn 10 (wt%)","alloy , bismuth, metal, tin",Metal or alloy,Bi-Sn,"Bi 90, Sn 10 (wt%)",,,Small casting in alumina crucible - air cooled.,Educational alloy - low melting point allows easy and safe use for students.,Standard polishing techniques.,Scanning electron microscopy (SEM) in secondary electron imaging (SEI) mode,10 μm,The near eutectic darker areas seen at lower magnifications [seen in micrograph 769] can be clearly seen to be similar to lamellae seen in micrograph 764.,M Charles and A Cockburn,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000770.jpg,./miclib_output/images/000770.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=770
771,Austenitic stainless steel,"alloy , annealing twins , austenite , grain , metal, stainless steel, steel",Metal or alloy,Fe-C-X,Stainless steel,,,,Construction of highly sophisticated power generation units.,Specimen polished and etched electrolytically using 10% oxalic acid solution in water.,Reflected light microscopy,100 μm,"Shows the grain structure of an austenitic stainless steel NF709, observed using light microscopy on a specimen polished and etched electrolytically using 10% oxalic acid solution in water. Many of the grains contain annealing twins. NF709 is a creep-resistant austenitic stainless steel used in the construction of highly sophisticated power generation units.

Source: http://www.msm.cam.ac.uk/phase-trans/abstracts/annealing.twin.html.",Prof H K D H Bhadeshia,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000771.jpg,./miclib_output/images/000771.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=771
772,Austenitic stainless steel,"alloy , annealing twins , austenite , dislocation , grain , metal, recrystallisation , stainless steel, steel",Metal or alloy,Fe-C-X,Stainless steel,,,The sample was cold-deformed by rolling and then annealed at 704Â°C for one hour.,,,Transmission electron microscopy (TEM),1 μm,"This is a transmission electron micrograph taken at 200 kV, from a thin foil sample of ""302AA"" austenitic stainless steel. The sample was cold-deformed by rolling and then annealed at 704Â°C for one hour. The image shows a recrystallised grain which is relatively free of dislocations, surrounded by a deformed matrix which has a high dislocation density. The recrystallised grain contains annealing twins (parallel bands with different contrast).

Source: http://www.msm.cam.ac.uk/phase-trans/abstracts/annealing.twin.html.",Prof H K D H Bhadeshia,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000772.gif,./miclib_output/images/000772.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=772
773,Austenitic stainless steel,"alloy , annealing twins , austenite , carbon, dislocation , grain , iron, metal, recrystallisation , stainless steel, steel",Metal or alloy,Fe-C-X,Stainless steel,,,The sample was cold-deformed by rolling and then annealed at 704Â°C for one hour.,,,Transmission electron microscopy (TEM),1 μm,"This is a transmission electron micrograph taken at 200 kV, from a thin foil sample of ""302AA"" austenitic stainless steel. The sample was cold-deformed by rolling and then annealed at 704oC for one hour. The image shows recrystallised grains which which show uniform contrast because they are relatively free of dislocations, surrounded by a deformed matrix which has a high dislocation density. The recrystallised grain contains annealing twins (parallel bands with different contrast. The steps at the top left-hand corner are simply steps in annealing twin boundaries.

Source: http://www.msm.cam.ac.uk/phase-trans/abstracts/annealing.twin.html.",Prof H K D H Bhadeshia,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000773.gif,./miclib_output/images/000773.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=773
774,Austenitic stainless steel,"alloy , annealing twins , austenite , carbon, dislocation , grain , iron, metal, recrystallisation , stainless steel, steel",Metal or alloy,Fe-C-X,Stainless steel,,,The sample was cold-deformed by rolling and then annealed at 704Â°C for one hour.,,,Transmission electron microscopy (TEM),1 μm,"This is a transmission electron micrograph taken at 200 kV, from a thin foil sample of ""302AA"" austenitic stainless steel. The sample was cold-deformed by rolling and then annealed at 704Â°C for one hour. The image shows a beautiful picture of annealing twins. Notice how the ends of annealing twins are flat, the shape being determined by a minimisation of interfacial energy. Mechanical twins, by contrast, are lenticular (lens like) with sharply pointed ends to minimise the strain energy due to the twinning shear. Annealing twins do not cause any deformation so strain energy minimisation is not an issue. This is also the reason why there is no strain field contrast visible at the tips of the annealing twins.

Source: http://www.msm.cam.ac.uk/phase-trans/abstracts/annealing.twin.html.",Prof H K D H Bhadeshia,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000774.gif,./miclib_output/images/000774.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=774
775,Austenitic stainless steel,"alloy , annealing twins , austenite , carbon, dislocation , grain , iron, metal, recrystallisation , stainless steel, steel",Metal or alloy,Fe-C-X,Stainless steel,,,The sample was cold-deformed by rolling and then annealed at 704Â°C for one hour.,,,Transmission electron microscopy (TEM),1 μm,"This is a transmission electron micrograph taken at 200 kV, from a thin foil sample of ""302AA"" austenitic stainless steel. The sample was cold-deformed by rolling and then annealed at 704Â°C for one hour. The image shows a mixture of deformed and recrystallised grains.

Source: http://www.msm.cam.ac.uk/phase-trans/abstracts/recryst.html.",Prof H K D H Bhadeshia,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000775.gif,./miclib_output/images/000775.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=775
776,Austenitic stainless steel,"alloy , annealing twins , austenite , carbon, dislocation , grain , iron, metal, recrystallisation , stainless steel, steel",Metal or alloy,Fe-C-X,Stainless steel,,,The sample was cold-deformed by rolling and then annealed at 704°C for one hour.,,,Transmission electron microscopy (TEM),2 μm,"This is a transmission electron micrograph taken at 200 kV, from a thin foil sample of ""302AA"" austenitic stainless steel. The sample was cold-deformed by rolling and then annealed at 704°C for one hour. The image shows a mixture of recrystallised and deformed grains. There are some stacking faults (ribbon like contrast) in the recrystallised grains; austenitic stainless steels have a relatively low stacking fault energy.

Source: http://www.msm.cam.ac.uk/phase-trans/abstracts/recryst.html.",Prof H K D H Bhadeshia,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000776.gif,./miclib_output/images/000776.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=776
777,Grey cast iron (flake graphite),"alloy , carbon, cast iron , graphite , grey cast iron , iron, metal, pearlite , silicon",Metal or alloy,Fe-C-X,"Fe, C 3.2, Si 2.5 (wt%)",,,,,Etchant: Nital 2%,Reflected light microscopy,100 μm,"Grey cast iron, Fe-3.2C-2.5Si wt%, containing graphite flakes in a matrix which is pearlitic. The speckled white regions represent a phosphide eutectic.

Source: http://www.msm.cam.ac.uk/phase-trans/2001/adi/cast.iron.html.",Dr M A Yescas-Gonzalez,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000777.jpg,./miclib_output/images/000777.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=777
778,Grey cast iron (flake graphite),"alloy , carbon, cast iron , cementite , ferrite , graphite , grey cast iron , iron, lamella , metal, pearlite , silicon",Metal or alloy,Fe-C-X,"Fe, C 3.2, Si 2.5 (wt%)",,,,,Etchant: Nital 2%,Reflected light microscopy,40 μm,"Grey cast iron, Fe-3.2C-2.5Si wt%, containing graphite flakes in a matrix which is pearlitic. The lamellar structure of the pearlite can be resolved, appearing to consist of alternating layers of cementite and ferrite. The speckled white regions represent a phosphide eutectic.

Source: http://www.msm.cam.ac.uk/phase-trans/2001/adi/cast.iron.html.",Dr M A Yescas-Gonzalez,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000778.jpg,./miclib_output/images/000778.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=778
779,Spheroidal graphite cast iron,"alloy , carbon, cast iron , decarburisation , ferrite , graphite , grey cast iron , iron, magnesium, metal, pearlite , silicon",Metal or alloy,Fe-C-X,"Fe, C 3.2, Si 2.5, Mg 0.05 (wt%)",,,,,Etchant: Nital 2%,Reflected light microscopy,50 μm,"Spheroidal graphite cast iron, Fe-3.2C-2.5Si-0.05Mg wt%, containing graphite nodules in a matrix which is pearlitic. One of the nodules is surrounded by ferrite, simply because the region around the nodule is decarburised as carbon deposits on to the graphite.

Source: http://www.msm.cam.ac.uk/phase-trans/2001/adi/cast.iron.html.",Dr M A Yescas-Gonzalez,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000779.jpg,./miclib_output/images/000779.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=779
780,Heat treated spheroidal graphite cast iron,"alloy , annealing , carbon, cast iron , decarburisation , ductile , ferrite , graphite , grey cast iron , heat treatment , iron, magnesium, metal, pearlite , silicon",Metal or alloy,Fe-C-X,"Fe, C 3.2, Si 2.5, Mg 0.05 (wt%)",,,Heat treated,,Etchant: Nital 2%,Reflected light microscopy,100 μm,"Spheroidal graphite cast iron usually has a pearlitic matrix. However, annealing causes the carbon in the pearlite to precipitate on to the existing graphite or to form further small graphite particles, leaving behind a ferritic matrix. This gives the iron even greater ductility. The micrograph shows graphite nodules in a ferritic matrix.

Source: http://www.msm.cam.ac.uk/phase-trans/2001/adi/cast.iron.html.",Dr M A Yescas-Gonzalez,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000780.jpg,./miclib_output/images/000780.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=780
781,Heat treated spheroidal graphite cast iron,"alloy , annealing , carbon, cast iron , decarburisation , ductile , ferrite , graphite , grey cast iron , heat treatment , iron, magnesium, metal, pearlite , silicon",Metal or alloy,Fe-C-X,"Fe, C 3.2, Si 2.5, Mg 0.05 (wt%)",,,Heat treated,,Etchant: Nital 2%,Reflected light microscopy,50 μm,"Spheroidal graphite cast iron usually has a pearlitic matrix. However, annealing causes the carbon in the pearlite to precipitate on to the existing graphite or to form further small graphite particles, leaving behind a ferritic matrix. This gives the iron even greater ductility. The micrograph shows graphite nodules in a ferritic matrix. Some carbon deposited during tempering is also visible.

Source: http://www.msm.cam.ac.uk/phase-trans/2001/adi/cast.iron.html.",Dr M A Yescas-Gonzalez,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000781.jpg,./miclib_output/images/000781.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=781
782,Austempered ductile cast iron,"alloy , austempering , carbon, cast iron , copper, ductile , ferrite , graphite , iron, manganese, metal, molybdenum, pearlite , silicon",Metal or alloy,Fe-C-X,"Fe, C 3.52, Si 2.51, Mn 0.49, Mo 0.15, Cu 0.31 (wt%)",,,As cast,,Etchant: Nital 2%,Reflected light microscopy,100 μm,"Ductile iron as-cast. Nodules of graphite, pearlite (dark islands) and ferrite (light background).

Source: http://www.msm.cam.ac.uk/phase-trans/2001/adi/cast.iron.html.",Dr M A Yescas-Gonzalez,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000782.jpg,./miclib_output/images/000782.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=782
783,Austempered ductile cast iron,"alloy , austempering , carbon, cast iron , copper, ductile , ferrite , graphite , iron, manganese, metal, molybdenum, pearlite , silicon",Metal or alloy,Fe-C-X,"Fe, C 3.52, Si 2.51, Mn 0.49, Mo 0.15, Cu 0.31 (wt%)",,,As cast,,Etchant: Nital 2%,Reflected light microscopy,100 μm,"Ductile iron as-cast. Nodules of graphite, pearlite (dark islands) and ferrite (light background).

Source: http://www.msm.cam.ac.uk/phase-trans/2001/adi/cast.iron.html.",Dr M A Yescas-Gonzalez,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000783.jpg,./miclib_output/images/000783.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=783
784,Austempered ductile cast iron,"alloy , austempering , carbon, cast iron , copper, ductile , ferrite , graphite , iron, manganese, metal, molybdenum, pearlite , silicon",Metal or alloy,Fe-C-X,"Fe, C 3.52, Si 2.51, Mn 0.49, Mo 0.15, Cu 0.31 (wt%)",,,,,Etchant: Nital 2%,Reflected light microscopy,100 μm,"Austenitised 950Â°C, austempered 350Â°C for 64 min.

Source: http://www.msm.cam.ac.uk/phase-trans/2001/adi/cast.iron.html.",Dr M A Yescas-Gonzalez,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000784.jpg,./miclib_output/images/000784.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=784
785,Austempered ductile cast iron,"alloy , austempering , carbon, cast iron , copper, ductile , ferrite , graphite , iron, manganese, metal, molybdenum, pearlite , silicon",Metal or alloy,Fe-C-X,"Fe, C 3.52, Si 2.51, Mn 0.49, Mo 0.15, Cu 0.31 (wt%)",,,,,Etchant: Nital 2%,Reflected light microscopy,20 μm,"Austenitised 950Â°C, austempered 350Â°C for 64 min.

Source: http://www.msm.cam.ac.uk/phase-trans/2001/adi/cast.iron.html.",Dr M A Yescas-Gonzalez,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000785.jpg,./miclib_output/images/000785.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=785
786,Austempered ductile cast iron,"alloy , austempering , carbon, cast iron , copper, ductile , ferrite , graphite , iron, manganese, metal, molybdenum, pearlite , silicon",Metal or alloy,Fe-C-X,"Fe, C 3.52, Si 2.51, Mn 0.49, Mo 0.15, Cu 0.31 (wt%)",,,,,Etchant: Nital 2%,Reflected light microscopy,100 μm,"Austenitised at 950Â°C, austempered at 400Â°C for 52 min.

Source: http://www.msm.cam.ac.uk/phase-trans/2001/adi/adimore.html.",Dr M A Yescas-Gonzalez,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000786.jpg,./miclib_output/images/000786.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=786
787,Austempered ductile cast iron,"alloy , austempering , carbon, cast iron , copper, ductile , ferrite , graphite , iron, manganese, metal, molybdenum, pearlite , silicon",Metal or alloy,Fe-C-X,"Fe, C 3.52, Si 2.51, Mn 0.49, Mo 0.15, Cu 0.31 (wt%)",,,,,Etchant: Nital 2%,Reflected light microscopy,20 μm,"Austenitised at 950Â°C, austempered at 400Â°C for 52 min.

Source: http://www.msm.cam.ac.uk/phase-trans/2001/adi/adimore.html.",Dr M A Yescas-Gonzalez,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000787.jpg,./miclib_output/images/000787.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=787
788,Austempered ductile cast iron,"alloy , austempering , carbon, cast iron , copper, ductile , ferrite , graphite , iron, manganese, metal, molybdenum, pearlite , silicon",Metal or alloy,Fe-C-X,"Fe, C 3.52, Si 2.51, Mn 0.49, Mo 0.15, Cu 0.31 (wt%)",,,,,Etchant: Nital 2%,Reflected light microscopy,100 μm,"Austenitised at 950Â°C, austempered at 350Â°C for 64 min.

Source: http://www.msm.cam.ac.uk/phase-trans/2001/adi/adimore.html.",Dr M A Yescas-Gonzalez,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000788.jpg,./miclib_output/images/000788.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=788
789,Austempered ductile cast iron,"alloy , austempering , carbon, cast iron , copper, ductile , ferrite , graphite , iron, manganese, metal, molybdenum, pearlite , silicon",Metal or alloy,Fe-C-X,"Fe, C 3.52, Si 2.51, Mn 0.49, Mo 0.15, Cu 0.31 (wt%)",,,,,Etchant: Nital 2%,Reflected light microscopy,40 μm,"Austenitised at 950Â°C, austempered at 350Â°C for 64 min.

Source: http://www.msm.cam.ac.uk/phase-trans/2001/adi/adimore.html.",Dr M A Yescas-Gonzalez,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000789.jpg,./miclib_output/images/000789.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=789
790,Austempered ductile cast iron,"alloy , austempering , carbon, cast iron , copper, ductile , ferrite , graphite , iron, manganese, metal, molybdenum, pearlite , silicon",Metal or alloy,Fe-C-X,"Fe, C 3.52, Si 2.51, Mn 0.49, Mo 0.15, Cu 0.31 (wt%)",,,,,Etchant: Nital 2%,Reflected light microscopy,20 μm,"Austenitised at 950Â°C, austempered at 350Â°C for 64 min.

Source: http://www.msm.cam.ac.uk/phase-trans/2001/adi/adimore.html.",Dr M A Yescas-Gonzalez,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000790.jpg,./miclib_output/images/000790.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=790
791,Austempered ductile cast iron,"alloy , austempering , carbon, cast iron , copper, ductile , ferrite , graphite , iron, manganese, metal, molybdenum, pearlite , silicon",Metal or alloy,Fe-C-X,"Fe, C 3.52, Si 2.51, Mn 0.49, Mo 0.15, Cu 0.31 (wt%)",,,,,Etchant: Nital 2%,Reflected light microscopy,100 μm,"Austenitised at 950Â°C, austempered at 300Â°C for 63 min.

Source: http://www.msm.cam.ac.uk/phase-trans/2001/adi/adimore.html.",Dr M A Yescas-Gonzalez,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000791.jpg,./miclib_output/images/000791.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=791
792,Austempered ductile cast iron,"alloy , austempering , carbon, cast iron , copper, ductile , ferrite , graphite , iron, manganese, metal, molybdenum, pearlite , silicon",Metal or alloy,Fe-C-X,"Fe, C 3.52, Si 2.51, Mn 0.49, Mo 0.15, Cu 0.31 (wt%)",,,,,Etchant: Nital 2%,Reflected light microscopy,20 μm,"Austenitised at 950Â°C, austempered at 300Â°C for 63 min.

Source: http://www.msm.cam.ac.uk/phase-trans/2001/adi/adimore.html.",Dr M A Yescas-Gonzalez,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000792.jpg,./miclib_output/images/000792.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=792
793,Austempered ductile cast iron,"alloy , austempering , carbon, cast iron , copper, ductile , ferrite , graphite , iron, manganese, metal, molybdenum, pearlite , silicon",Metal or alloy,Fe-C-X,"Fe, C 3.52, Si 2.51, Mn 0.49, Mo 0.15, Cu 0.31 (wt%)",,,,,Etchant: Nital 2%,Reflected light microscopy,100 μm,"Austenitised at 950Â°C, austempered at 250Â°C for 50 min.

Source: hthttp://www.msm.cam.ac.uk/phase-trans/2001/adi/adimore.html.",Dr M A Yescas-Gonzalez,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000793.jpg,./miclib_output/images/000793.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=793
794,Austempered ductile cast iron,"alloy , austempering , carbon, cast iron , copper, ductile , ferrite , graphite , iron, manganese, metal, molybdenum, pearlite , silicon",Metal or alloy,Fe-C-X,"Fe, C 3.52, Si 2.51, Mn 0.49, Mo 0.15, Cu 0.31 (wt%)",,,,,Etchant: Nital 2%,Reflected light microscopy,20 μm,"Austenitised at 950Â°C, austempered at 250Â°C for 50 min.

Source: http://www.msm.cam.ac.uk/phase-trans/2001/adi/adimore.html.",Dr M A Yescas-Gonzalez,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000794.jpg,./miclib_output/images/000794.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=794
795,Blackheart cast iron,"alloy , blackheart cast iron , carbon, cast iron , ductile , equiaxed , graphite , iron, metal",Metal or alloy,Fe-C-X,Blackheart cast iron,,,,,Etchant: Nital 2%,Reflected light microscopy,100 μm,Source: http://www.msm.cam.ac.uk/phase-trans/2001/adi/cast.iron.html.,Dr M A Yescas-Gonzalez,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000795.jpg,./miclib_output/images/000795.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=795
796,Blackheart cast iron,"alloy , blackheart cast iron , carbon, cast iron , ductile , equiaxed , graphite , iron, metal",Metal or alloy,Fe-C-X,Blackheart cast iron,,,,,Etchant: Nital 2%,Reflected light microscopy,100 μm,Source: http://www.msm.cam.ac.uk/phase-trans/2001/adi/cast.iron.html.,Dr M A Yescas-Gonzalez,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000796.jpg,./miclib_output/images/000796.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=796
797,Wear-resistant high-chromium cast iron,"alloy , austenite , carbide, carbon, cast iron , chromium, dendrite , equiaxed , graphite , iron, martensite , metal, molybdenum, nickel",Metal or alloy,Fe-C-X,"Fe, C 2.6, Cr 17, Mo 2, Ni 2 (wt%)",,,,,"The sample was etched using Villela's reagent, which is a mixture of picric acid, hydrochloric acid and ethanol.",Reflected light microscopy,40 μm,"This cast iron is used in circumstances where a very high wear resistance is desirable. For example, during the violent crushing of rocks and minerals. It contains a combination of very strong carbide-forming alloying elements. The white phase is a chromium-rich carbide known as M7C3. The matrix consists of dendrites of austenite, some of which may have transformed into martensite. There may also be relatively small quantities of other alloy carbides. The material from which these micrographs were obtained was kindly provided by Dr Arnoldo Bedolla-Jacuinde of Mexico. Details of the iron have been published in the International Journal of Cast Metals Research, 13 (2001) 343-361.

Source: http://www.msm.cam.ac.uk/phase-trans/2001/adi/cast.iron.html.",Dr M A Yescas-Gonzalez,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000797.jpg,./miclib_output/images/000797.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=797
798,Wear-resistant high-chromium cast iron,"alloy , austenite , carbide, carbon, cast iron , chromium, dendrite , equiaxed , graphite , iron, martensite , metal, molybdenum, nickel",Metal or alloy,Fe-C-X,"Fe, C 2.6, Cr 17, Mo 2, Ni 2 (wt%)",,,,,"The sample was etched using Villela's reagent, which is a mixture of picric acid, hydrochloric acid and ethanol.",Reflected light microscopy,20 μm,"This cast iron is used in circumstances where a very high wear resistance is desirable. For example, during the violent crushing of rocks and minerals. It contains a combination of very strong carbide-forming alloying elements. The white phase is a chromium-rich carbide known as M7C3. The matrix consists of dendrites of austenite, some of which may have transformed into martensite. There may also be relatively small quantities of other alloy carbides. The material from which these micrographs were obtained was kindly provided by Dr Arnoldo Bedolla-Jacuinde of Mexico. Details of the iron have been published in the International Journal of Cast Metals Research, 13 (2001) 343-361.

Source: http://www.msm.cam.ac.uk/phase-trans/2001/adi/cast.iron.html.",Dr M A Yescas-Gonzalez,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000798.jpg,./miclib_output/images/000798.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=798
799,"Austenitic stainless steel solution treated, water quenched and tempered","austenite , stainless steel",Metal or alloy,Fe-C-X,"Stainless steel with Cr 18, Ni 10, Nb 1 (wt%)",,,"Solution treated at 1300ÂºC and water quenched, then tempered 72 hours at 700ÂºC",,Extraction replica,Scanning electron microscopy (SEM),2 μm,,Professor Sir R W K Honeycombe,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000799.gif,./miclib_output/images/000799.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=799
800,Austenitic stainless steel tempered,"austenite , stainless steel",Metal or alloy,Fe-C-X,Stainless steel with Nb 1 (wt%),,,Tempered 50 hours at 600ÂºC,,Carbon extraction replica,Scanning electron microscopy (SEM),1 μm,,Professor Sir R W K Honeycombe,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000800.gif,./miclib_output/images/000800.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=800
801,"Austenitic stainless steel solution treated, water quenched then tempered","austenite , stainless steel",Metal or alloy,Fe-C-X,"Stainless steel with Cr 18, Ni 10, Nb 1 (wt%)",,,"Solution treated 24 hours at 1300ÂºC, water quenched then tempered 72 hours at 700ÂºC",,Thin film,Transmission electron microscopy (TEM),400 nm,,Professor Sir R W K Honeycombe,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000801.gif,./miclib_output/images/000801.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=801
